2024-10-09 15:54:08,704 - qm - INFO     - Starting session: aa993943-7a9d-4d80-8cb8-ac1ba12cfc48
2024-10-09 15:54:11,664 - qm - INFO     - Octave "octave2" Health check passed, current temperature 60
2024-10-09 15:54:12,806 - qm - INFO     - Octave "octave3" Health check passed, current temperature 57
2024-10-09 15:54:13,626 - qm - INFO     - Octave "octave4" Health check passed, current temperature 58
2024-10-09 15:54:14,364 - qm - INFO     - Octave "octave5" Health check passed, current temperature 59
2024-10-09 15:54:15,099 - qm - INFO     - Octave "octave6" Health check passed, current temperature 58
2024-10-09 15:54:15,099 - qm - INFO     - Performing health check
2024-10-09 15:54:15,118 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con1. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-09 15:54:15,118 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con2. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-09 15:54:15,118 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con3. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-09 15:54:15,118 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con4. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-09 15:54:15,118 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con5. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-09 15:54:15,118 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con6. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-09 15:54:15,118 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con7. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-09 15:54:15,118 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con8. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-09 15:54:15,118 - qm - WARNING  - Health check warning: Inter-OPX connectivity issues in OPX: con9. Missing ports are: 12, 11, 10, 9. See QM-App for more info.
2024-10-09 15:54:15,118 - qm - INFO     - Health check passed
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114167, firmware:4.2.76.0-4.30.046.295) in 0.18s
Connected to: Rohde&Schwarz SGS100A (serial:1416.0505k02/114164, firmware:4.2.76.0-4.30.046.295) in 0.14s
2024-10-09 15:54:17,814 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:18,021 - qm - INFO     - Executing program
2024-10-09 15:54:21,353 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:21,563 - qm - INFO     - Executing program
2024-10-09 15:54:24,743 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:24,967 - qm - INFO     - Executing program
2024-10-09 15:54:28,191 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:28,392 - qm - INFO     - Executing program
2024-10-09 15:54:31,626 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:31,828 - qm - INFO     - Executing program
2024-10-09 15:54:33,959 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:34,110 - qm - INFO     - Executing program
2024-10-09 15:54:37,405 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:37,556 - qm - INFO     - Executing program
2024-10-09 15:54:40,835 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:41,045 - qm - INFO     - Executing program
2024-10-09 15:54:43,979 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:44,127 - qm - INFO     - Executing program
2024-10-09 15:54:46,466 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:46,667 - qm - INFO     - Executing program
2024-10-09 15:54:49,335 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:49,546 - qm - INFO     - Executing program
2024-10-09 15:54:51,762 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:51,964 - qm - INFO     - Executing program
2024-10-09 15:54:54,246 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:54,476 - qm - INFO     - Executing program
2024-10-09 15:54:56,933 - qm - INFO     - Sending program to QOP for compilation
2024-10-09 15:54:57,159 - qm - INFO     - Executing program
2024-10-09 15:54:59,424 - qm - INFO     - Sending program to QOP for compilation
